index,word,freq,# texts,freq/texts,entire corpus,expected
400,PAINSTAKING,3,2,27.8,"1,272",0.1
401,PRIME,3,2,0.8,"45,690",3.9
402,INDEPENDENT,3,2,0.6,"63,668",5.4
403,HIGH-END,3,2,7.6,"4,647",0.4
404,INTERNATIONAL,3,2,0.2,"157,746",13.4
405,GUIDING,3,2,5.4,"6,585",0.6
406,LIVE,3,2,0.7,"48,875",4.1
407,MEMORABLE,3,2,4.1,"8,687",0.7
408,LUXURIOUS,3,2,10.6,"3,346",0.3
409,LEGALIZED,3,1,46.9,754,0.1
410,PUFFED,3,1,80.7,438,0
411,NO-PARKING,3,1,589.1,60,0
412,PLAY-ACTION,3,1,155.7,227,0
413,EASTERN,3,1,0.8,"46,106",3.9
414,EXTERNAL,3,1,1.4,"25,150",2.1
415,CONTRASTING,3,1,16.8,"2,110",0.2
416,CONSENSUAL,3,1,14.7,"2,403",0.2
417,WINE-MAKING,3,1,803.3,44,0
418,VOCAL,3,1,3,"11,672",1
419,YELLOW,2,2,0.6,"41,114",3.5
420,WONDERFUL,2,2,0.3,"71,983",6.1
421,WIDESPREAD,2,2,1.3,"18,721",1.6
422,WEIRD,2,2,0.6,"41,469",3.5
423,WACKY,2,2,10.4,"2,274",0.2
424,VIABLE,2,2,1.9,"12,113",1
425,VIBRANT,2,2,3.4,"6,993",0.6
426,VIOLENT,2,2,0.7,"36,178",3.1
427,VISITING,2,2,3,"7,938",0.7
428,VITAL,2,2,1,"22,999",2
429,VARYING,2,2,2.9,"8,017",0.7
430,VAST,2,2,0.6,"38,824",3.3
431,VEGETARIAN,2,2,6.2,"3,791",0.3
432,VERTICAL,2,2,2,"11,721",1
433,VALUABLE,2,2,0.7,"31,632",2.7
434,UNCLEAR,2,2,1.8,"12,810",1.1
435,UPSET,2,2,1.4,"16,986",1.4
436,UNFINISHED,2,2,5.4,"4,365",0.4
437,UNIDENTIFIED,2,2,0.5,"47,749",4.1
438,UNKNOWN,2,2,0.8,"27,969",2.4
439,UNDERLYING,2,2,1.6,"15,095",1.3
440,TWO-WAY,2,2,7.5,"3,121",0.3
441,TWO-WEEK,2,2,11.5,"2,049",0.2
442,SUPER,2,2,0.5,"44,778",3.8
443,SUITABLE,2,2,2,"11,760",1
444,SUITED,2,2,32.6,723,0.1
445,UNSAFE,2,2,5.6,"4,202",0.4
446,UNSEEN,2,2,5,"4,736",0.4
447,SUSPECTED,2,2,3.8,"6,135",0.5
448,SHARED,2,2,1.3,"17,765",1.5
449,SEVERE,2,2,0.7,"33,095",2.8
450,SHOCKING,2,2,2.3,"10,302",0.9
451,SHORT-TERM,2,2,1.9,"12,552",1.1
452,SICK,2,2,0.4,"64,278",5.5
453,SLIGHT,2,2,1.4,"17,023",1.4
454,SEASON-ENDING,2,2,33.6,701,0.1
455,RUGGED,2,2,4.9,"4,807",0.4
456,SENSITIVE,2,2,0.8,"28,124",2.4
457,TECHNICAL,2,2,0.6,"38,895",3.3
458,THREATENING,2,2,9.6,"2,447",0.2
459,SUBTLE,2,2,1.4,"16,744",1.4
460,STRATEGIC,2,2,0.9,"26,106",2.2
461,STRUCTURED,2,2,5.1,"4,643",0.4
462,ALIVE,2,2,0.3,"69,388",5.9
463,STARCHY,2,2,43.3,544,0
464,SPECTACULAR,2,2,1.9,"12,709",1.1
465,SORRY,2,2,0.1,"237,479",20.2
466,SPACIOUS,2,2,7.4,"3,180",0.3
467,SPARE,2,2,2.7,"8,870",0.8
468,SO-CALLED,2,2,0.8,"29,478",2.5
469,BAKED,2,2,4.9,"4,829",0.4
470,ASTONISHING,2,2,3.8,"6,204",0.5
471,AWESOME,2,2,0.7,"32,399",2.8
472,ATTRACTIVE,2,2,1,"23,570",2
473,CAMPY,2,2,40.8,578,0
474,BROWN,2,2,0.6,"41,794",3.5
475,SPREADING,2,2,7.9,"2,990",0.3
476,BURNING,2,2,1.6,"14,976",1.3
477,BRILLIANT,2,2,0.9,"26,977",2.3
478,AGGRESSIVE,2,2,0.9,"26,824",2.3
479,AFRAID,2,2,0.3,"79,013",6.7
480,ALL-TIME,2,2,3.6,"6,553",0.6
481,KNOWN,2,2,1.5,"15,927",1.4
482,INEVITABLE,2,2,1.4,"17,342",1.5
483,LEGIT,2,2,9.7,"2,420",0.2
484,LEGITIMATE,2,2,1,"23,289",2
485,LENGTHY,2,2,3,"7,773",0.7
486,INSIDE,2,2,2.5,"9,270",0.8
487,JOINT,2,2,0.7,"31,743",2.7
488,MANAGEABLE,2,2,7.8,"3,029",0.3
489,MEANINGLESS,2,2,3.5,"6,792",0.6
490,MERE,2,2,1,"23,268",2
491,MODEST,2,2,1.3,"17,756",1.5
492,MISLEADING,2,2,3,"7,961",0.7
493,APPARENT,2,2,0.9,"26,983",2.3
494,APPROVED,2,2,5.6,"4,211",0.4
495,AQUATIC,2,2,6.1,"3,861",0.3
496,ANGRY,2,2,0.5,"51,859",4.4
497,ANTICIPATED,2,2,5.5,"4,296",0.4
498,ACCOMPLISHED,2,2,5.8,"4,047",0.3
499,ACKNOWLEDGED,2,2,14.3,"1,648",0.1
500,CLEAN,2,2,0.4,"56,103",4.8
