index,word,freq,# texts,freq/texts,entire corpus,expected
301,ALIVE,4,3,0.8,"69,388",5.3
302,SUITABLE,4,3,4.4,"11,760",0.9
303,WET,4,2,2,"26,752",2
304,URGENT,4,2,5,"10,435",0.8
305,VEGETATIVE,4,2,47.4,"1,104",0.1
306,ABUNDANT,4,2,7.4,"7,080",0.5
307,APPARENT,4,2,1.9,"26,983",2.1
308,CORRECT,4,2,0.9,"55,672",4.3
309,FAR,4,2,1.6,"31,885",2.4
310,EXPLOSIVE,4,2,5.6,"9,408",0.7
311,ENDLESS,4,2,3,"17,194",1.3
312,PHYSICAL,4,2,0.5,"109,593",8.4
313,RECORDED,4,2,11.8,"4,448",0.3
314,READABLE,4,2,29.9,"1,748",0.1
315,SQUARE,4,2,2.2,"23,431",1.8
316,MARINE,4,2,2,"26,089",2
317,HUMID,4,2,20.5,"2,551",0.2
318,INTENSIVE,4,2,5.3,"9,808",0.8
319,METRIC,4,2,11,"4,751",0.4
320,ORGANIC,4,2,2.1,"25,290",1.9
321,MICROBIAL,4,1,21.7,"2,410",0.2
322,MID,4,1,6.8,"7,637",0.6
323,INNER,4,1,1.9,"27,674",2.1
324,STATISTICAL,4,1,3,"17,578",1.3
325,SOMATIC,4,1,31.7,"1,647",0.1
326,SEMICIRCULAR,4,1,181.6,288,0
327,PAPER-BASED,4,1,236.6,221,0
328,GRADUAL,4,1,9.2,"5,687",0.4
329,IMAGINARY,4,1,7.1,"7,381",0.6
330,DENTAL,4,1,6.9,"7,556",0.6
331,ACCURATE,4,1,1.7,"31,078",2.4
332,ANGRY,4,1,1,"51,859",4
333,AUDITORY,4,1,14.8,"3,526",0.3
334,UNDERSEA,4,1,65,805,0.1
335,NONPROFIT,3,3,2.7,"14,291",1.1
336,NOVEL,3,3,3.2,"12,158",0.9
337,JUNIOR,3,3,1.4,"28,890",2.2
338,RESILIENT,3,3,11.5,"3,414",0.3
339,ROUND,3,3,1.7,"23,155",1.8
340,SENSITIVE,3,3,1.4,"28,124",2.2
341,REASONABLE,3,3,1.1,"36,633",2.8
342,PROTECTED,3,3,5.5,"7,178",0.5
343,PROFESSIONAL,3,3,0.5,"80,926",6.2
344,OUTSIDE,3,3,1.1,"35,771",2.7
345,PLENTIFUL,3,3,13.2,"2,963",0.2
346,GIVEN,3,3,1.5,"26,551",2
347,EFFECTIVE,3,3,0.5,"79,648",6.1
348,DIVERSE,3,3,1.6,"25,278",1.9
349,DISTANT,3,3,1.7,"23,254",1.8
350,FINAL,3,3,0.4,"105,701",8.1
351,FINANCIAL,3,3,0.3,"119,877",9.2
352,DETAILED,3,3,1.7,"23,163",1.8
353,DAILY,3,3,0.6,"61,102",4.7
354,DAMAGED,3,3,8.7,"4,506",0.3
355,COMPLEX,3,3,0.8,"51,965",4
356,ABOVE,3,3,2.5,"15,827",1.2
357,ACTUAL,3,3,0.6,"64,819",5
358,ARDUOUS,3,3,21.6,"1,815",0.1
359,AMAZING,3,3,0.6,"69,541",5.3
360,BROAD,3,3,1.1,"35,969",2.8
361,ASSOCIATE,3,3,3.3,"12,053",0.9
362,WONDERFUL,3,3,0.5,"71,983",5.5
363,VERY,3,3,0.5,"74,480",5.7
364,WEALTHY,3,3,1.8,"21,800",1.7
365,TOP-TIER,3,3,63.3,620,0
366,USED,3,3,0.8,"48,344",3.7
367,VALUABLE,3,3,1.2,"31,632",2.4
368,UNUSUAL,3,3,1.2,"33,706",2.6
369,UNPLEASANT,3,3,5.6,"7,031",0.5
370,UNDERLYING,3,3,2.6,"15,095",1.2
371,UNEXPECTED,3,2,2.2,"17,965",1.4
372,EXTRAORDINARY,3,2,1.6,"24,840",1.9
373,THOROUGH,3,2,4.5,"8,730",0.7
374,VITREOUS,3,2,263.2,149,0
375,WRITTEN,3,2,2.1,"18,339",1.4
376,VERTICAL,3,2,3.3,"11,721",0.9
377,WILD,3,2,0.7,"55,998",4.3
378,AWAKE,3,2,2.9,"13,701",1
379,AUTOMATIC,3,2,2.6,"14,956",1.1
380,BASAL,3,2,23.8,"1,650",0.1
381,ADEQUATE,3,2,2.2,"17,887",1.4
382,UNFORTUNATE,3,2,3,"13,279",1
383,COASTAL,3,2,3,"13,062",1
384,ACCEPTABLE,3,2,1.9,"20,624",1.6
385,DEFINED,3,2,16,"2,450",0.2
386,DEAD,3,2,0.2,"167,148",12.8
387,COLD,3,2,0.4,"89,982",6.9
388,FANTASTIC,3,2,1.7,"23,668",1.8
389,ESTIMATED,3,2,2.4,"16,662",1.3
390,ENCLOSED,3,2,19.9,"1,967",0.2
391,ELECTROCHEMICAL,3,2,117.8,333,0
392,DRIED,3,2,4,"9,891",0.8
393,DEVELOPED,3,2,3.6,"10,994",0.8
394,GENEROUS,3,2,2.4,"16,095",1.2
395,OUTSTANDING,3,2,2.5,"15,568",1.2
396,PARASITIC,3,2,26.9,"1,458",0.1
397,PROFITABLE,3,2,4,"9,708",0.7
398,PRIOR,3,2,2.4,"16,475",1.3
399,PROBABLE,3,2,5.2,"7,503",0.6
400,PROPER,3,2,0.9,"41,814",3.2
401,SUBSEQUENT,3,2,1.9,"20,893",1.6
402,SEPARATE,3,2,1,"41,181",3.2
403,SHORT-TERM,3,2,3.1,"12,552",1
404,SKELETAL,3,2,16.3,"2,407",0.2
405,SPLIT,3,2,7.1,"5,497",0.4
406,INVOLVED,3,2,0.5,"72,492",5.5
407,INVALUABLE,3,2,10.8,"3,626",0.3
408,LIQUID,3,2,3.5,"11,194",0.9
409,INVERTED,3,2,19.7,"1,992",0.2
410,MASTERFUL,3,2,23.6,"1,662",0.1
411,OPTICAL,3,2,5.1,"7,667",0.6
412,INORGANIC,3,1,36.3,"1,081",0.1
413,INDIRECT,3,1,5.6,"6,955",0.5
414,OBSCURE,3,1,6.7,"5,832",0.4
415,OCCIPITAL,3,1,101.9,385,0
416,NON-IRRIGATED,3,1,688,57,0
417,NEIGHBOURING,3,1,63.5,618,0
418,MATURING,3,1,60.1,653,0
419,INTERSTELLAR,3,1,17.5,"2,242",0.2
420,ROYAL,3,1,1.4,"27,750",2.1
421,LARGE-SCALE,3,1,5.3,"7,456",0.6
422,LIMBIC,3,1,91.2,430,0
423,STICKY,3,1,5.9,"6,689",0.5
424,RECTANGULAR,3,1,14,"2,800",0.2
