Index,word,word freq,texts,freq/texts,entire corp,expected
421,CHAMBER,9,3,5.6,"21,018",1.6
422,ARREST,9,2,5.4,"21,776",1.7
423,FATHER,9,2,0.4,"298,772",22.9
424,PUPIL,9,2,38.1,"3,086",0.2
425,OFFERING,9,2,14.8,"7,968",0.6
426,MILLIMETER,9,2,95.8,"1,228",0.1
427,MAGMA,9,2,117.6,"1,000",0.1
428,OFFICER,9,2,1.5,"79,865",6.1
429,INSECT,9,2,20,"5,875",0.4
430,SUBSIDY,9,2,29.6,"3,969",0.3
431,STAND,9,2,4.1,"28,690",2.2
432,USURPER,9,1,380.7,309,0
433,NEST,9,1,11.4,"10,276",0.8
434,PRODUCTIVITY,9,1,8,"14,707",1.1
435,FERTILIZER,9,1,26.3,"4,468",0.3
436,ACCESSIBILITY,9,1,25.4,"4,640",0.4
437,AVAILABILITY,9,1,9.1,"12,959",1
438,BUILDING,8,7,0.8,"124,735",9.5
439,ISSUE,8,7,0.6,"189,316",14.5
440,JOB,8,6,0.3,"312,880",23.9
441,LAYER,8,6,5.2,"20,076",1.5
442,MEMBER,8,6,1,"101,511",7.8
443,GRADUATE,8,6,4.5,"23,431",1.8
444,SUPPORT,8,6,0.7,"148,392",11.4
445,DIFFERENCE,8,6,0.9,"116,024",8.9
446,DISTRIBUTION,8,5,3.2,"32,775",2.5
447,BUSINESS,8,5,0.3,"323,990",24.8
448,EARTH,8,5,0.8,"133,357",10.2
449,ADVANTAGE,8,5,1.9,"55,630",4.3
450,SITUATION,8,5,0.8,"136,957",10.5
451,IMPACT,8,5,1.1,"92,988",7.1
452,HUMAN,8,5,4.9,"21,445",1.6
453,HOUR,8,5,0.9,"118,947",9.1
454,ORDER,8,5,1,"108,675",8.3
455,POSITION,8,5,0.8,"137,883",10.5
456,LOT,8,5,0.2,"436,443",33.4
457,POST,8,4,0.8,"135,488",10.4
458,NEED,8,4,0.9,"110,106",8.4
459,LIQUID,8,4,11.2,"9,316",0.7
460,TIMING,8,4,5.7,"18,189",1.4
461,CHEMISTRY,8,4,7.8,"13,324",1
462,CAREER,8,4,1,"106,881",8.2
463,COPY,8,4,3.5,"29,827",2.3
464,GANGLION,8,4,385.9,271,0
465,EFFICIENCY,8,3,4.9,"21,372",1.6
466,BUDGET,8,3,1.3,"79,594",6.1
467,TRAINING,8,3,1,"103,987",8
468,STATION,8,3,1.4,"74,024",5.7
469,MEMORY,8,3,1.6,"67,125",5.1
470,QUANTITY,8,3,11.7,"8,972",0.7
471,GAS,8,3,1.2,"86,802",6.6
472,SEA,8,3,1.3,"79,699",6.1
473,RULE,8,3,1.6,"64,943",5
474,GOLD,8,3,1.5,"69,311",5.3
475,GRASS,8,3,3.5,"29,643",2.3
476,EXPLOSION,8,3,6.1,"17,027",1.3
477,FOOD,8,3,0.5,"230,216",17.6
478,FORMULA,8,2,4.1,"25,813",2
479,FISH,8,2,1.4,"75,168",5.8
480,RECONSTRUCTION,8,2,10.9,"9,630",0.7
481,PHOTON,8,2,62,"1,686",0.1
482,LIMIT,8,2,4.9,"21,138",1.6
483,LETTER,8,2,1.3,"81,534",6.2
484,WIFE,8,2,0.6,"182,396",14
485,USAGE,8,2,9,"11,634",0.9
486,BARK,8,2,21.7,"4,816",0.4
487,BELIEF,8,2,2.6,"40,172",3.1
488,BUNDLE,8,2,20.4,"5,131",0.4
489,AIRWAY,8,1,51.3,"2,038",0.2
490,FOVEA,8,1,"1,584.50",66,0
491,AXIS,8,1,15.6,"6,716",0.5
492,REPLACEMENT,8,1,6.2,"16,770",1.3
493,SEPARATION,8,1,6.8,"15,476",1.2
494,GENERAL,8,1,2,"52,011",4
495,FISSION,8,1,87.7,"1,192",0.1
496,TRADITION,7,6,2.2,"42,512",3.3
497,TUBE,7,6,5.3,"17,190",1.3
498,NETWORK,7,6,1.1,"80,255",6.1
499,PATH,7,6,1.5,"60,399",4.6
500,REST,7,6,0.6,"149,578",11.4
