index,word,freq,# texts,freq/texts,entire corpus,expected
323,SHOT,22,17,0.7,"37,557",32.4
324,WEIGHT,22,17,2,"13,078",11.3
325,TRUTH,22,17,0.4,"66,483",57.3
326,CLASS,22,17,0.8,"31,261",27
327,TUBE,22,16,4.5,"5,668",4.9
328,GRAVITY,22,16,5.1,"4,998",4.3
329,SPECIES,22,16,3.1,"8,331",7.2
330,SHOE,22,16,3.7,"6,987",6
331,GIRLFRIEND,22,16,0.9,"26,871",23.2
332,RING,22,16,1.1,"22,715",19.6
333,SOCIETY,22,15,2.4,"10,499",9.1
334,CHEESE,22,14,1.9,"13,592",11.7
335,CANDY,22,14,2.6,"9,731",8.4
336,CONTEST,22,14,5,"5,101",4.4
337,FORCE,22,14,1.1,"22,961",19.8
338,HORSE,22,13,1.2,"20,557",17.7
339,LOBSTER,22,13,9.2,"2,775",2.4
340,UNIFORM,22,12,3.8,"6,762",5.8
341,INVENTION,22,11,12,"2,118",1.8
342,SCENE,22,11,0.9,"27,483",23.7
343,ORPHAN,22,9,18.7,"1,362",1.2
344,COLD,22,9,3.9,"6,535",5.6
345,PHOTO,22,9,1.8,"13,926",12
346,SAUSAGE,22,5,8.2,"3,130",2.7
347,BUREAUCRAT,22,4,92.4,276,0.2
348,WHILE,21,20,0.6,"39,344",33.9
349,SERVICE,21,20,0.9,"27,119",23.4
350,ENEMY,21,18,1.7,"14,424",12.4
351,BREAK,21,18,1.1,"22,753",19.6
352,DEGREE,21,17,4,"6,066",5.2
353,LORD,21,17,0.6,"37,567",32.4
354,WINDOW,21,17,1,"23,272",20.1
355,MASTER,21,17,1.1,"21,382",18.4
356,BATHROOM,21,17,1.3,"18,306",15.8
357,MISTAKE,21,16,0.7,"32,729",28.2
358,BOSS,21,16,0.6,"38,412",33.1
359,MEAL,21,16,2.7,"9,140",7.9
360,CHECK,21,15,1.3,"18,055",15.6
361,NATURE,21,15,1.6,"15,586",13.4
362,TAPE,21,15,1.5,"15,940",13.7
363,NERD,21,15,11.2,"2,170",1.9
364,DIAMOND,21,13,4,"6,013",5.2
365,ENERGY,21,13,1.2,"20,861",18
366,TOY,21,13,4.8,"5,093",4.4
367,FIGHT,21,12,0.9,"26,462",22.8
368,GOLD,21,12,1.1,"21,780",18.8
369,COP,21,10,1,"24,193",20.9
370,CHIP,21,9,3.3,"7,273",6.3
371,LIMBO,21,8,36.2,672,0.6
372,PENGUIN,21,3,13.2,"1,850",1.6
373,CLOVER,21,2,43.9,555,0.5
374,PILE,20,18,5.6,"4,149",3.6
375,PAL,20,17,2,"11,515",9.9
376,EVENT,20,17,2.1,"11,283",9.7
377,MOVE,20,17,1.1,"20,404",17.6
378,GLASS,20,16,1.3,"18,254",15.7
379,TRIP,20,16,0.9,"24,569",21.2
380,SLEEP,20,16,1.3,"18,144",15.6
381,PROGRAM,20,16,1.6,"14,333",12.4
382,EVENING,20,15,0.9,"27,214",23.5
383,SUCKER,20,15,8.1,"2,872",2.5
384,LEVEL,20,15,1.4,"16,948",14.6
385,LAB,20,14,1.2,"19,430",16.8
386,FUEL,20,14,3.5,"6,605",5.7
387,LETTER,20,13,1.1,"20,532",17.7
388,VIOLENCE,20,13,2.8,"8,329",7.2
389,PET,20,12,4.2,"5,497",4.7
390,BOMB,20,11,1.4,"16,626",14.3
391,COSTUME,20,11,3.8,"6,067",5.2
392,EPISODE,20,10,2.8,"8,319",7.2
393,AWARD,20,10,5.9,"3,937",3.4
394,WORM,20,10,9.7,"2,383",2.1
395,CALENDAR,20,9,7.7,"3,019",2.6
396,HEAVEN,19,18,1.8,"12,507",10.8
397,RESPECT,19,17,1.4,"15,504",13.4
398,STICK,19,17,3,"7,290",6.3
399,SUIT,19,17,1.4,"15,491",13.4
400,SHAME,19,16,1.7,"12,950",11.2
401,BIRD,19,16,1.5,"14,574",12.6
402,BUILDING,19,15,0.7,"31,070",26.8
403,LIE,19,15,1.9,"11,513",9.9
404,PRICE,19,14,1.2,"17,798",15.3
405,MIRROR,19,14,2.9,"7,725",6.7
406,MODEL,19,12,1.9,"11,667",10.1
407,MEMBER,19,12,1.7,"13,308",11.5
408,SHELL,19,11,5,"4,413",3.8
409,CELEBRITY,19,10,6.4,"3,424",3
410,FLOWER,19,10,4.6,"4,784",4.1
411,BEAN,19,7,9.2,"2,390",2.1
412,EXPERIMENT,19,7,3.8,"5,848",5
413,CHEF,19,7,1.2,"18,711",16.1
414,HUNT,19,5,3.4,"6,481",5.6
415,OPERA,19,5,7.4,"2,973",2.6
